date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:26:35	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5ef413f66ecef%22	https://clever-joliot.45-77-193-98.plesk.page/robots.txt		(from )
01:26:35	88856/88856	---M--	200	added ('OK')	text/html	etag:%2263912a28-15b18%22	https://clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/	C:/Users/Lenovo/Desktop/Hack/clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/index.html	(from )
01:26:36	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/Users/Lenovo/Desktop/Hack/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/)
01:26:37	160302/160302	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/Users/Lenovo/Desktop/Hack/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/)
01:26:37	84355/84355	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-14983%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/Users/Lenovo/Desktop/Hack/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/)
01:26:38	60044/60044	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	C:/Users/Lenovo/Desktop/Hack/stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/)
01:26:38	25055/25055	---M--	200	added ('OK')	text/css	etag:%225f94925c-61df%22	https://clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/5f205bb74a5eb_v.css	C:/Users/Lenovo/Desktop/Hack/clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/5f205bb74a5eb_v.css	(from https://clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/)
01:26:39	3044/3044	---M--	200	added ('OK')	application/javascript	etag:%225f94925e-be4%22	https://clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/5f205bb713507_v.js	C:/Users/Lenovo/Desktop/Hack/clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/5f205bb713507_v.js	(from https://clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/)
01:26:40	7208/7208	---M-Z	200	added ('OK')	text/css	etag:%225eb03e6a-1c28%22	https://cdnjs.cloudflare.com/ajax/libs/froala-editor/2.8.5/css/froala_style.min.css	C:/Users/Lenovo/Desktop/Hack/cdnjs.cloudflare.com/ajax/libs/froala-editor/2.8.5/css/froala_style.min.css	(from https://clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/)
01:26:40	0/0	---M--	200	added ('OK')	text/css	etag:%220-5b270c69fdc80%22	https://clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/5f205bb63ccd2_v.css	C:/Users/Lenovo/Desktop/Hack/clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/5f205bb63ccd2_v.css	(from https://clever-joliot.45-77-193-98.plesk.page/WinFfdhjjdhjfhfdjkhreyreyCHeVV/)
